    New chain ID            Original chain ID

3jbv-pdb-bundle1.pdb:
           A                         A
           B                         B
           C                         C
           D                         D
           E                         E
           F                         F
           G                         G
           H                         H
           I                         I
           J                         J
           K                         K
           L                         L
           M                         M
           N                         N
           O                         O
           P                         P
           Q                         Q
           R                         R
           S                         S
           T                         T
           U                         U
           V                         V
           W                         W
           X                         X
           0                         0
           1                         1
           2                         2
           3                         3
           4                         4
           6                         6
           7                         7
           8                         8
           a                         a

3jbv-pdb-bundle2.pdb:
           b                         b
           c                         c
           i                         i
           d                         d
           e                         e
           f                         f
           g                         g
           h                         h
           j                         j
           k                         k
           l                         l
           m                         m
           n                         n
           o                         o
           p                         p
           q                         q
           r                         r
           s                         s
           t                         t
           u                         u
           w                         w
           y                         y
           z                         z
